1.;Ismétlés 1.;A szöveg szabályos bevitele, kijelölés, a munkakörnyezet kialakítása, karakterformázás, bekezdésformázás, nyelvi ellenőrzés;Tipográfiai ismeretek;Egyszerű hétköznapi szöveges dokumentumok elkészítése, például: leírás, tájékoztató, reklám, irodalmi szöveg. Nyelvi és gépelési hibák javítása irodalmi szövegben;https://www.nive.hu/Downloads/Szakkepzesi_dokumentumok/Bemeneti_kompetenciak_meresi_ertekelesi_eszkozrendszerenek_kialakitasa/16_1617_017_100930.pdf
2.;Ismétlés 2.;Karakterformázás, szimbólumok, elválasztás sorok végén, bekezdésformázás, listák;Tipográfiai ismeretek;"Nyers szöveg formázása leírás alapján.Minta alapján a karakter- és bekezdésformátumok felismerése, alkalmazása.Hétköznapi életből vett példák: hirdetés, tájékoztató táblák, cégjelzéses papír, recept, előadás vázlata";https://informatika.gtportal.eu/?f0=Szovegszerkesztes_alapjai
3.;Az adatok áttekinthető elrendezése;Táblázat beszúrása, formázása. Tabulátorok alkalmazása, tabulátorpozíciók fajtái;Tipográfiai ismeretek. Formanyomtatvány készítése. Más tantárgyhoz kapcsolódó feladatok;"A hétköznapi életben előforduló példák elemzése és elkészítése: órarend, menetrend, menü, árjegyzék, kupon, hirdetés, iskolai nyomtatványokMás tantárgyakhoz kapcsolódó adatok táblázatos elrendezése, például földrajzi vagy történelmi adatok, mérési eredmények";https://summers.hu/pub/inf/feladatok/szoveg/szovegfel.htm
4.;Képek, ábrák beillesztése;Képek beillesztése, elrendezése, képaláírás készítése, egyszerű alakzatok beillesztése, elrendezése, vektorgrafikus ábra kialakítása;Tipográfiai ismeretek. Más tantárgyhoz kapcsolódó feladatok;Más tantárgyhoz kapcsolódó feladathoz források keresése, azok felhasználásával képeket, ábrákat tartalmazó dokumentum kialakítása. Például adott tájegység, állatfaj vagy történelmi esemény bemutatása, ábra készítése matematikai tétel, természeti jelenség vagy fizikai fogalom bemutatására;http://tviki.brody-ajka.sulinet.hu/Info/szovegszerkesztes.html
5.;Fájlok kezelése, megosztása;Oldal kialakítása, mentési, nyomtatási beállítások. Dokumentum megosztása, közös szerkesztése;Tipográfiai ismeretek. Önéletrajz, kérvény, hivatalos levél, formanyomtatvány készítése;Önéletrajz, kérvény, hivatalos levél, formanyomtatvány készítése. Közös dokumentum készítése, szerkesztése például osztálykirándulás, teremszépítés tervezéséhez;https://www.youtube.com/watch?v=AVlsxuZVCw4
6.;Gyakorlás, ellenőrzés;Egyoldalas dokumentum kialakítása a megismert eszközökkel;Tipográfiai ismeretek. Önéletrajz, kérvény, hivatalos levél, formanyomtatvány készítése. Más tantárgyhoz kapcsolódó feladatok.;Egyoldalas hivatalos dokumentum, formanyomtatvány, iskolai tájékoztató, más tantárgyhoz kapcsolódó probléma, faliújságcikk stb. készítése;http://www.zmgzeg.sulinet.hu/ntk/inffelgy/
7.;Körlevélkészítés;Adatforrás, törzsdokumentum, körlevél;Adatok kezelése, szűrése, rendezése körlevél készítése céljából. Körlevél készítése;Körlevél – például értesítők, meghívók, brossúrák, fizetési felszólítások – készítése. Az adatforrás adatainak szűrése;http://tehetseg.inf.elte.hu/tananyagok/szovszerk/lecke6_lap1.html
8.;Stílusok, tartalomjegyzék;Stílusok alkalmazása és módosítása, normál stílus, címsor stílusok használata, új stílus létrehozása. Tartalomjegyzék készítése;Hosszú dokumentumok készítése, formázása. Tartalomjegyzék létrehozása;Adott nyersszöveg formázása stílusok segítségével, tartalomjegyzék beszúrása. Más tantárgyakhoz kapcsolódó oktatóanyag, tanulmány vagy projektbeszámoló készítése;http://tehetseg.inf.elte.hu/tananyagok/szovszerk/lecke1_lap2.html
9.;Nagy dokumentumok formázása;Élőfej, élőláb, lábjegyzet, objektumok beszúrása, szövegdoboz, hasáb, szakasz, elválasztás;Hosszú dokumentumok készítése, formázása. Élőfej és élőláb kialakítása, lábjegyzet, tartalomjegyzék létrehozása;Adott nyersszöveg felhasználásával hosszú dokumentum formázása (címsorok kialakítása, tartalomjegyzék, lábjegyzet beillesztése, hasábok, szakaszonként eltérő laptájolás, élőfej, élőláb kialakítása);http://tehetseg.inf.elte.hu/tananyagok/szovszerk/lecke1_lap3.html
10.;Gyakorlás;Hosszabb dokumentum kialakítása a megismert eszközökkel;Hosszú dokumentumok készítése, formázása. Élőfej és élőláb kialakítása, lábjegyzet, tartalomjegyzék létrehozása. Más tantárgyhoz kapcsolódó feladatok;Az iskolai élethez vagy más tantárgyakhoz kapcsolódó beszámoló, tanulmány készítése egyénileg vagy projektmunka keretében. Források keresése és felhasználása a hivatkozás szabályainak betartásával;http://tehetseg.inf.elte.hu/tananyagok/szovszerk/lecke2_lap1.html
11.;Ellenőrzés;Hosszabb dokumentum kialakítása a megismert eszközökkel;Tipográfiai ismeretek. Hosszú dokumentumok készítése, formázása. Élőfej és élőláb kialakítása, lábjegyzet, tartalomjegyzék létrehozása. Más tantárgyhoz kapcsolódó feladatok;Adott nyersszöveg felhasználásával hosszú dokumentum formázása;https://sites.google.com/site/informatikaerettsegifelkeszito/1-szoevegszerkesztes
12.;A pixelgrafika alapjai;Pixelgrafikus szerkesztő programok. Színmélység, additív színkeverés (RGB). Felbontás (DPI, PPI). Fájlformátumok (BMP, JPG, PNG);Digitális képek jellemzőinek és tárolásának megismerése. A rasztergrafikus kép jellemzői: felbontás, színmélység. Színrendszerek, alakzatok színezése. Alakzatok rajzolása, rajzolóeszközök használata;Előismeretek rendszerezése, képszerkesztőprogram választása, felhasználói felülettel való ismerkedés, egyszerű szimmetrikus alakzatok elkészítése, majd mentése. Bittérképes rajzolóprogrammal ábrák készítése más tantárgyak tananyagához kapcsolódó témában;https://www.youtube.com/watch?v=L0olSkj5pak
13.;Rétegek;Réteg, átlátszatlanság, rétegmaszk, alfa-csatorna;Rasztergrafikus ábra készítése, rétegműveletek alkalmazása;Digitális kép korrekciója, amely a további alkalmazáshoz vagy feldolgozáshoz szükséges;https://informatika.gtportal.eu/?f0=LinuxGimp
14.;Szöveg a képen, képszerkesztés mobiltelefonnal;Torzítás, hajlítás, útvonal, képszerkesztő mobilalkalmazások;Alakzatok egymáshoz képest történő elrendezése: igazítás, elosztás, rétegek, transzformációk. Alakzat tulajdonságainak módosítása: méret, szegély, kitöltés, feliratozás, átlátszóság, transzformációk: elforgatás, tükrözés;Feliratok, plakátok készítése. Más tantárgyak tananyagához kapcsolódó témában ábrakészítés. Mobilalkalmazások használata;https://primandras.hu/gimp/2.4/index.html
15.;Ellenőrzés;Komplex feladat megoldása;Az ismeretek ellenőrzése;Egyéni munka;https://njszt.hu/hu/ecdl/modul/kepszerkesztes
16.;Elméleti fogalmak, adatvédelem, szoftverek;GDPR, személyes adat, digitális zoom, optikai zoom, képkockaszám (FPS), fájlformátumok (AVI, MPEG, MP4, MOV, 3GP), videószerkesztő szoftverek felhasználói felülete;Adott feladat megoldásához szükséges megfelelő digitális eszközök és szoftver kiválasztása. Az adatvédelmi törvény és a szerzői jogok figyelembevétele publikálásnál;Elméleti fogalmak áttekintése, ismerkedés a választott szoftver felhasználói felületével;
17.;Videó készítése, szerkesztése 1.;Kollázs, szűrők. Videó, hang vágása. Komplex feladat megoldása;Kép, hang, videó rögzítése, manipulálása. Információkeresés során gyűjtött multimédiás alapelemek felhasználása;Egy téma (más tantárgyhoz kapcsolódó ismeret feldolgozása, egészséges életmód, stb.) feldolgozása csoportmunkában. Multimédia-állományok (kép, hang, videó) digitális rögzítése és manipulálása (például szkennerrel, digitális fényképezőgéppel, okostelefonnal);https://videoszerkeszto.com/videoszerkeszto-programok-online/
18.;Videó készítése, szerkesztése 2.;Kollázs, szűrők. Videó, hang vágása. Komplex feladat megoldása;Kép, hang, videó rögzítése, manipulálása. Információkeresés során gyűjtött multimédiás alapelemek felhasználása;Egy téma (más tantárgyhoz kapcsolódó ismeret feldolgozása, egészséges életmód, stb.) feldolgozása csoportmunkában. Multimédia-állományok (kép, hang, videó) digitális rögzítése és manipulálása (például szkennerrel, digitális fényképezőgéppel, okostelefonnal);https://support.google.com/youtube/answer/7548152?hl=hu
19.;Ellenőrzés;Elkészült munkák megtekintése közösen;Ismeretek ellenőrzése;A munkák közös értékelése meghatározott szempontok szerint;https://www.youtube.com/watch?v=-IA_5jDKygA
20.;A vektorgrafika alapfogalmai, szerkesztőprogramjai és a felhasználói felület;Vektorgrafikai szerkesztőprogramok. Vektorgrafikai ábra tárolási módszere. SVG fájl szerkezete;Digitális képek jellemzőinek és tárolásának megismerése. Vektorgrafikus ábra tárolási módszerének ismerete;Az előismeretek rendszerezése, javasolt szerkesztőprogramok bemutatása, az alkalmazandó szoftver kiválasztása, a választás indoklása. A felhasználói felület bemutatása, összehasonlítása más szoftverekével;https://www.w3schools.com/graphics/svg_intro.asp
21.;Alakzatok, igazítás;Szakasz, ellipszis, kör, téglalap, csillag, sokszög. Alakzatok igazítása, kettőzése, klónozása, törött vonal, spirál, szín, színátmenet, vastagság, vonalvégződés, szaggatottság;Vektorgrafikus szerkesztőprogram használata. Alakzatok rajzolása: rajzolóeszközök, pont, szakasz, ellipszis, kör, téglalap. Alakzat tulajdonságainak módosítása: méret, szegély, kitöltés, feliratozás, átlátszóság, transzformációk: elforgatás, tükrözés;Játékos feladatok, például: pálcikaember, társasjátéktáblák készítése;https://developer.mozilla.org/en-US/docs/Web/SVG
22.;Elrendezés;Alakzatok csoportosítása, csoportbontása, elrendezése, elforgatás, eltolás, tükrözés;Alakzatok egymáshoz képest történő elrendezése: igazítás, elosztás, rétegek, transzformációk;A grafikai lépések sorozatának tervezése, algoritmusának meghatározása;https://editor.method.ac/
23.;Színek, kitöltés, szegélyek;A színrendszerek elméleti ismerete a gyakorlatban is megjelenik, színátmenet, átlátszóság, takarás módosítása;Színrendszerek, alakzatok színezése, átlátszóság, takarás;Játékos feladatokon, például: smiley, csiga stb. után új ismereteket bevezető, például optikai csalódások, geometriai problémák, testhálók stb. rajzolása
24.;Gyakorlás és ellenőrzés;Az eddig megismert eszközökkel új ábra készítése, az ismeretek bemutatása, ellenőrzése;Vektorgrafikus ábra elkészítése minta vagy leírás alapján;Projektmunka készítése, tartalmának, valamint kivitelezésének közös értékelése
25.;Unió, metszet, különbség;Az ábrakészítés során az alakzatok uniója, metszete és különbsége;Vektorgrafikus ábrakészítés algoritmikus tervezése;Az iskolai tanulmányok és a hétköznapi élet példáinak elkészítése a műveletekkel. Logók, piktogramok készítése geometrikus alakzatokból
26.;Útvonal;Csomópont és csomópontműveletek;Görbék, csomópontok felhasználása rajzok készítésében. Csomópontműveletek;Ábrakészítés algoritmusának megtervezése és megvalósítása csomópont műveletekkel
27.;Szövegek;Szövegek illesztése görbékre. A szöveg tulajdonságainak állítása;Görbék, csomópontok felhasználása rajzok, feliratok készítésében. Csomópontműveletek;Egy nagyobb szervezet arculati kézikönyve vektorgrafikai példáinak tanulmányozása és választott mintájának megvalósítása
28.;GeoGebra;A GeoGebra szoftver funkciói, matematikai és fizikai alkalmazása. 3D-alakzat;Elemi műveletek 3D-s modellel;Egy geometriai és egy függvényábrázoló feladat megoldásának bemutatása, majd választott munkaszervezéssel másik feladat megoldása
29.;Ellenőrzés;Komplex feladat megoldása és ellenőrzése;Az ismeretek ellenőrzése;Egyéni vagy páros munka készítése, tartalmának, valamint kivitelezésének közös értékelése
30.;Mi az a programozás?;Programok, tárolásuk, indításuk. Parancssor és grafikus felület. Forráskód és gépi kód. A szoftverfejlesztő munkája;A problémamegoldó tevékenység tervezési és szervezési kérdései. Hétköznapi tevékenységekből a folyamat és az adatok absztrakciója;A program (alkalmazás) fogalma az óra végére módosulhat, beszéljük meg a tanulókkal, hogy honnan hova jutottak el. A lecke végén lévő kérdéseket vitassuk meg közösen!
31.;Első programjaink;Parancs, programfuttatás. Hibaüzenet, hibakeresés. IDE. Szöveg és szám adattípus. Változók. Adatbekérés a felhasználótól;Az algoritmikus gondolkodást segítő informatikai eszközök és szoftverek használata. Változók, értékadás. A program megtervezése, kódolása, tesztelése;Vezetett egyéni munka, sok-sok megállással, a tanulságok gyakori megfogalmazásával. A program futásának közös végigkövetése – az utasítások és a program lefutása közötti közvetlen kapcsolat felismerése céljából.
32.;Változók, kiíratás, adat bekérése;Változók értékének felülírása. Karakter és elfedése, sortörés. A változók értékének felhasználása;Szekvencia. Változók, értékadás. A problémamegoldó tevékenység tervezési és szervezési kérdései;Az óra fontos feladata a fejlesztői környezet, a parancssor és az utasítások nyelvre jellemző mintájának minél magabiztosabb használatát kialakítani, a megoldandó problémák ezért egyszerűek. Minél több egyéni és egymást segítő munka.
33.;Számok és karakterláncok a programban;"Szöveg és szám adattípus, műveleteik. Változó és konstans. Típusátalakítás. Értékadás. Az egyenlőségjel mint műveleti jel";Szekvencia. Változók, értékadás. Az elemi adatok kezelése és használata. A program megtervezése, kódolása, tesztelése. Hétköznapi tevékenységekből a folyamat és az adatok absztrakciója;Vezetett egyéni munka a tanulságok gyakori megfogalmazásával. A típuskonverzió megértése (akár igazi dobozzal plasztikussá téve a szokásos doboz-metaforát)
34.;Számok és karakterláncok;A lebegőpontos számokat tárolni képes típus. A lépésenkénti finomítás elve;Az algoritmus végrehajtásához szükséges adatok és az eredmények kapcsolatának vizsgálata. A program megtervezése, kódolása, tesztelése;Minél több egyéni és egymást segítő munka. Gyakorlófeladatok megoldása
35.;Elágazások;Algoritmus megfogalmazása a kódtól függetlenül. Elágazás. Feltétel, összetett feltétel. Folyamatábra, mondatszerű leírás. Tesztelés. Véletlenszám-előállítás;Elágazások. A problémamegoldáshoz tartozó algoritmuselemek megismerése. Az algoritmus leírásának egy lehetséges módja megismerése. Az elágazás megfelelője egy formális programozási környezetben;Vezetett egyéni munka a tanulságok gyakori megfogalmazásával. Algoritmusok leírása és kódolása
36.;Elágazások és véletlenek;Operátorok a feltételek megfogalmazásában. Többirányú elágazás;Elágazások, feltételek kezelése, többirányú elágazás. Hétköznapi tevékenységekből a folyamat és az adatok absztrakciója;Minél több egyéni és egymást segítő munka. Gyakorlófeladatok megoldása. A feltételek felismerése hétköznapi problémákban. „És” kontra „vagy” a feltételek megfogalmazásában a hétköznapokban és az informatikai szemléletben
37.;Ciklusok;Feltételes ciklus. Ciklusmag. Logikai adattípus. Összetett ciklusfeltétel.;A vezérlési szerkezetek megfelelői egy formális programozási környezetben;Elmondva is kövessük végig a ciklus belsejében lévő változó értékének alakulását pár ismétlődésen. Vezetett egyéni munka, sok-sok megállással, a tanulságok gyakori megfogalmazásával
38.;Ciklusok és véletlenek;Egyenletmegoldás ciklussal. Kilépés a ciklusból. Szimuláció. Statisztika készítése;Hétköznapi tevékenységekből a folyamat és az adatok absztrakciója. Mások által készített alkalmazások paramétereinek a program működésére gyakorolt hatása vizsgálata;Gyakorlófeladatok megoldása. A megoldás ötletét, algoritmusát érdemes lehet együtt megbeszélni, a kódolás történhet választott munkaszervezéssel.
39.;Ciklusok oda-vissza és egymásba ágyazva;Ciklusok kicsitől a nagyig és visszafelé. Egymásba ágyazott ciklusok;A problémamegoldáshoz tartozó algoritmuselemek megismerése;Gyakorlófeladatok megoldása. A megoldás ötletét, algoritmusát érdemes lehet együtt megbeszélni, a kódolás történhet választott munkaszervezéssel
40.;Összetartozó adatok kezelése;Egyszerű és összetett adatok, az ezeket tárolni képes adatszerkezet. Lista bejárása feltételes ciklussal. Bejárós ciklus, listabejárás bejárós ciklussal;Az elemi adatok és sorozatok megkülönböztetése, kezelése és használata. A program megtervezése, kódolása, tesztelése;Vezetett egyéni munka, sok-sok megállással, a tanulságok gyakori megfogalmazásával. Hasonlítsuk össze a kétféle bejárási típust! Melyiknek mi az előnye, hátránya?
41.;Listák és bejárásuk;Listák párhuzamos bejárása. Számszekvencia generálása. A kétféle ciklus egymásba alakíthatósága. Listák elemszáma;Az elemi adatok és sorozatok megkülönböztetése, kezelése és használata;A programok ötletét (esetleg mondatszerű leírását) érdemes lehet együtt elkészíteni
42.;Listák mindenféle adatokkal;Listák bejárása index szerint;Az elemi adatok és sorozatok megkülönböztetése, kezelése és használata. Példák típusalgoritmus használatára. A program megtervezése, kódolása, tesztelése. Hétköznapi tevékenységekből a folyamat és az adatok absztrakciója;A programok ötletét (esetleg mondatszerű leírását) érdemes lehet együtt elkészíteni. A kódolás történhet választott munkaszervezéssel
43.;Mobil informatikai eszközök;Mobiltechnológia, mobileszköz fogalma, mobil operációs rendszerek;A mobiltechnológia körébe tartozó eszközök ismerete, összehasonlítása a hagyományos eszközökkel;Az ismeretek rendszerezése, a mobilinformatika eszközeinek összegyűjtése csoportmunkában, az egyes eszközök jellemzése, lehetőségeinek összehasonlítása egymással és a hagyományos eszközökkel. Előnyök, hátrányok, mindennapi életünkre gyakorolt hatások mérlegelése
44.;Okostelefonok biztonságos használata;Alkalmazás, applikáció, alkalmazás telepítése, alkalmazás eltávolítása, kezelőfelület;"Mobileszközök kezelése, alkalmazások futtatása, telepítése, eltávolításaMobileszköz biztonságos használatához szükséges alapelvek ismerete";"Mobilalkalmazás választása, telepítése, eltávolítása. Mobileszközök biztonsági beállításainak áttekintése"
45.;Mobiltanulás, oktatóprogramok;Mobiltanulás, oktatóprogramok, oktatást segítő programok;"Mobileszközökre tervezett oktató- és oktatást segítő programok használataMobiltechnológiai eszközök segítségével megvalósított együttműködés";"Tanulást segítő mobilalkalmazás választása, telepítése, eltávolításaTantárgyi mobilalkalmazás indítása, használata, beállítása, paraméterek módosításaTantárgyakhoz kapcsolódó mobilalkalmazás felhasználása vagy mobileszközökkel végzett tantárgyi feladat megvalósítása csoportmunkában"
46.;Egyszerű mobilalkalmazás készítése;Mobiltanulás, oktatóprogramok, oktatást segítő programok;"Mobileszközökre tervezett oktató- és oktatást segítő programok használataMobiltechnológiai eszközök segítségével megvalósított együttműködés";"Mobilalkalmazás készítése blokkprogramozás segítségével Alkalmazás fejlesztése egyéni vagy csoportmunkában"
47.;Ismétlés, alapfogalmak;Böngészőprogram, erőforrás, hiperhivatkozás, URL, URN, URI, séma, útvonal, lekérdezési paraméterek, oldalrész, http protokoll, HTML, stíluslap (CSS), reszponzivitás, akadálymentesség;Az internetes publikálás módszereinek megismerése, szabályai;A fogalmak megértését, bemutatását, kipróbálását támogató feladatok egyéni, illetve csoportos megoldása, majd közös megbeszélése
48.;Készítsünk weblapot! 1.;Dinamikus honlap, statikus honlap, kódszerkesztő alkalmazás, HTML alapstruktúra, címsorok, megjegyzés a kódban, bekezdés, sortörés, egyszerű szövegformázások, listák;Weblapkészítés HTML nyelven weblapszerkesztővel. Webdokumentum szerkezetének és alapelemeinek ismerete;Esettanulmány közös megvalósítása lépésenként, a legfontosabb címkék használatának bemutatása. Gyakorlófeladat egyéni megoldása
49.;Készítsünk weblapot! 2.;Képek beillesztése, ábrák/illusztrációk felirattal, hivatkozások, videó beillesztése;Weblapkészítés HTML nyelven weblapszerkesztővel. Webdokumentum szerkezetének és alapelemeinek ismerete. Közlésre szánt szöveges és képi információval kapcsolatos elvárások, kiválasztási szempontok, fájlformátumok;Esettanulmány közös megvalósítása lépésenként, a legfontosabb címkék használatának bemutatása. Gyakorlófeladat egyéni megoldása
50.;Készítsünk weblapot!  3.;Táblázatok használata, stíluslap csatolása, stíluslap módosítása, statikus honlap publikálása;Weblapkészítés HTML nyelven weblapszerkesztővel. Webdokumentum szerkezetének és alapelemeinek ismerete. Webdokumentum tartalmának és stílusának szerkesztési lehetőségei, szétválasztásuk jelentősége. Stíluslap csatolása weblaphoz, és a benne lévő stílusok használata a dokumentum formázásához;Esettanulmány közös megvalósítása lépésenként, a legfontosabb címkék használatának bemutatása. Előre elkészített stíluslap csatolása, valamint testreszabása. Az elkészült honlap publikálási módjának bemutatása. Gyakorlófeladat egyéni megoldása
51.;Ellenőrzés 1.;Komplex feladat megoldása és ellenőrzése;Az ismeretek ellenőrzése;Honlap készítése és publikálása szabadon választott témában, csoportmunka keretében. Az elkészült munkák tartalmának, valamint kivitelezésének közös értékelése
52.;Ellenőrzés 2.;Komplex feladat megoldása és ellenőrzése;Az ismeretek ellenőrzése;Honlap készítése és publikálása szabadon választott témában, csoportmunka keretében. Az elkészült munkák tartalmának, valamint kivitelezésének közös értékelése
53.;Ismétlés;"Cella, oszlop, sor, cellatartomány, munkalap, munkafüzet, relatív, vegyes és abszolút cellahivatkozás; saját képlet szerkesztése";Az általános iskolában tanult táblázatkezelés-ismeretek áttekintése, rendszerezése. Adatok bevitele, javítása, másolása, formázása. Számítási műveletek adatokkal, képletek szerkesztése;A hétköznapi életből származó adatok táblázatos elrendezése táblázatkezelő alkalmazással, egyszerű képletek alkalmazása, egyszerű diagramok készítése. Például iskolai rendezvény szervezése, osztálypénztár kezelése, termék ártáblázata, útnyilvántartás
54.;Számok, szövegek, logikai kifejezések kezelése;Szöveg, szám- és logikai típus, számformátumok, dátum- és időformátum, százalékformátum, pénznemformátum, logikai műveletek, statisztikai függvények;Szám, szöveg, logikai típusok. Dátum- és idő-, pénznem-, százalékformátumok alkalmazása. Statisztikai függvények;A hétköznapi életből származó adatok táblázatos elrendezése, a problémának megfelelő adattípusok, adatformátumok, képletek alkalmazása. Például pontverseny, iskolai statisztikai adatok, átlagkereset változása, egyszerű gazdasági tevékenység kalkulálása, munkaidő nyilvántartása
55.;Diagramkészítés;Diagram létrehozása, diagramtípusok, diagram-összetevők;Diagram létrehozása, szerkesztése;Egy-egy adatsorból többféle diagram készítése: például a Föld népessége, gazdasági adatok. Az adatok megtévesztő ábrázolásának felismerése. Példák keresése internetes cikkekben és a nyomtatott sajtóban
56.;Szöveg- és dátumkezelő függvények;Dátum- és szövegkezelő függvények, függvény paraméterezése;Szám, szöveg, logikai típusok. Dátum- és idő-, pénznem-, százalékformátumok alkalmazása. Függvények használata, paraméterezése. Hétköznapi problémák megoldása táblázatkezelővel;A hétköznapi életből származó problémák megoldása szöveg- és dátumkezelő függvényekkel. Például monogram, belépési adatok generálása, többnapos tábor részvételi adatai
57.;Keresőfüggvények;Keresőfüggvények, függvény paraméterezése;Függvények használata, paraméterezése. Hétköznapi problémák megoldása táblázatkezelővel. Adatok keresése;A hétköznapi életből származó problémák megoldása kereső függvényekkel. Például: dolgozat pontozása, tanulmányi vagy versenyeredmény sávos jutalmazása, tanulónyilvántartásból adott nevű tanuló adatainak kigyűjtése az adattábla első sorába
58.;Feltételes statisztikai függvények;Feltételtől függő statisztikai függvények, függvény paraméterezése;Függvények használata, paraméterezése. Hétköznapi problémák megoldása táblázatkezelővel. Statisztikai függvények, feltételtől függő számítások;A hétköznapi életből származó statisztikai problémák megoldása feltételes statisztikai függvényekkel. Például: osztálystatisztika, autónyilvántartás, települések nyilvántartásának elemzése. Az adott feltételnek megfelelő adatok kiemelése feltételes formázással
59.;Gyakorlás;Hétköznapi problémák megoldása a megismert eszközökkel;Hétköznapi problémák megoldása táblázatkezelővel;Adott feladat különböző megoldási lehetőségeinek közös elemzése
60.;Ellenőrzés;Hétköznapi problémák megoldása a megismert eszközökkel;Hétköznapi problémák megoldása táblázatkezelővel;Hétköznapi életből származó problémák megoldása a megfelelő adattípusok, adatformátumok, képletek, függvények alkalmazásával
61.;Felhőszolgáltatások;Felhőszolgáltatás, megosztás, kétfaktoros azonosítás;"Online tárolás, megosztás alapfogalmaiSzemélyhez köthető információk és azok védelme";"Felhőszolgáltatás, megosztás alapfogalmainak rendszerezése, gyakorlati alkalmazása csoportmunkábanIskolai környezetnek megfelelő e-szolgáltatások használata"
62.;Az online kommunikációs eszközök csoportosítása;Online kommunikációs eszközök, kommunikáció jellemzői, web 2.0, chat, online közösség;"Az online kommunikáció jellemzőiAz online közösségek szerepe, működése";Az ismeretek rendszerezése, az eszközök csoportosítása, jellemzőik megfigyelése. Az elektronikus kommunikáció szabályainak betartásával két- vagy többrésztvevős kommunikációs lehetőségek és alkalmazások használata
63.;A világháló;Az online kommunikáció jellemzői, tematikus és kulcsszavas információkeresés, hitelesség, adatvédelmi beállítás;"Az online kommunikáció jellemzőiA tanuló ismeri és alkalmazza az információkeresési stratégiákat és technikákat, a találati listát a problémának megfelelően szűri, ellenőrzi annak hitelességét";"Tematikus és kulcsszavas információkeresési stratégiák és technikák alkalmazása például technikai, szaktudományos és szépirodalmi területen.A találati lista szűkítése, bővítése és szűrése, valamint hitelességének ellenőrzése, adatvédelmi beállítások használata"
64.;Elektronikus levelezés;Levelezőrendszer, elektronikus postafiók, biztonsági kockázatok, spam, spamszűrő;"Az online kommunikáció jellemzőiA tanuló használja a két- vagy többrésztvevős kommunikációs lehetőségeket és alkalmazásokat, az online kommunikáció során alkalmazza a kialakult viselkedési kultúrát és szokásokat, a szerepelvárásokat";Levelezés műveleteinek rendszerezése, áttekintése, postafiók beállításai, levelekkel kapcsolatos beállítások, névjegyek, levelezőrendszerek egyéb szolgáltatásainak megismerése, kipróbálása a gyakorlatban. Biztonsági kérdések megbeszélése
65.;Az informatikai eszközök története; a digitális eszközök főbb egységei";Az informatikai eszközök története. A digitális eszközök főbb egységei, periféria;A technológiai változások követése a digitális információforrások használatával. Az informatikai eszközök működési elveinek megismerése. A digitális eszközök főbb egységei;"Ennek a témakörnek a tartalmi elemeit kisebb részletekben a többi témakör oktatásában javasoljuk feldolgozni akkor, amikor az adott eszköz használata szükségessé teszi azt. Az itt leírtak nem önálló tanulási egységei a tananyagnak.A tanulók különböző informatikai környezetekkel találkoznak mindennapi életük, tanulmányaik és más tevékenységük során. Társadalmi érintkezésükben aktív szerepet akkor tudnak betölteni, ha a digitális környezet elvi és gyakorlati kérdéseit folyamatosan megismerik, abba képesek beavatkozni és ismereteiket másokkal megosztani"
66.;A modern digitális eszközök működése;"Kommunikációs eszközök, mobileszközök; felhőszolgáltatások, szinkronizálás, ergonómia";Az informatikai eszközök, mobileszközök operációs rendszerei;
67.;Operációs rendszerek;Operációs rendszerek, lokális, illetve hálózati fájl- és mappaműveletek;"Operációs rendszer segédprogramjaiFelhőszolgáltatások igénybevétele, használata a csoportmunkábanÁllományok kezelése és megosztása a felhőben";
68.;Operációs rendszerek;Tömörítés, digitális kártevők és védekezés ellenük;"Állomány- és mappatömörítésDigitális kártevők elleni védekezés";